algorithm,inputType,size,timeMs,maxDepth,comparisons
MergeSort,random,100,0,5,605
QuickSort,random,100,0,5,700
DeterministicSelect,random,100,0,6,590
ClosestPair,random,100,4,7,134
MergeSort,sorted,100,0,5,268
QuickSort,sorted,100,0,5,595
DeterministicSelect,sorted,100,0,7,510
ClosestPair,sorted,100,0,7,133
MergeSort,reverse,100,0,5,579
QuickSort,reverse,100,0,6,618
DeterministicSelect,reverse,100,0,7,670
ClosestPair,reverse,100,0,7,122
MergeSort,duplicates,100,0,5,556
QuickSort,duplicates,100,0,3,1210
DeterministicSelect,duplicates,100,0,19,1069
ClosestPair,duplicates,100,0,7,127
MergeSort,random,1000,0,8,9141
QuickSort,random,1000,0,7,10992
DeterministicSelect,random,1000,0,10,7539
ClosestPair,random,1000,2,10,1119
MergeSort,sorted,1000,0,8,4404
QuickSort,sorted,1000,0,7,10727
DeterministicSelect,sorted,1000,0,12,6242
ClosestPair,sorted,1000,2,10,1132
MergeSort,reverse,1000,0,8,6889
QuickSort,reverse,1000,0,7,10398
DeterministicSelect,reverse,1000,0,10,7457
ClosestPair,reverse,1000,0,10,1105
MergeSort,duplicates,1000,0,8,8382
QuickSort,duplicates,1000,0,4,102954
DeterministicSelect,duplicates,1000,1,130,154606
ClosestPair,duplicates,1000,0,10,1157
MergeSort,random,10000,1,11,126797
QuickSort,random,10000,1,9,164744
DeterministicSelect,random,10000,2,13,81766
ClosestPair,random,10000,10,13,12820
MergeSort,sorted,10000,1,11,59248
QuickSort,sorted,10000,0,9,159209
DeterministicSelect,sorted,10000,2,14,67951
ClosestPair,sorted,10000,4,13,13031
MergeSort,reverse,10000,0,11,93689
QuickSort,reverse,10000,0,9,154413
DeterministicSelect,reverse,10000,0,13,77011
ClosestPair,reverse,10000,8,13,12841
MergeSort,duplicates,10000,1,11,115333
QuickSort,duplicates,10000,5,4,10020720
DeterministicSelect,duplicates,10000,1124,1171,618827928
ClosestPair,duplicates,10000,8,13,12968
